id,companyId,companyName,title,location,workplace,employmentType,department,team,url,applyUrl,postedAt,scrapedAt
workday:aHR0cHM6Ly9nc2sud2Q1Lm15d29ya2RheWpvYnMuY29tL0dTS0NhcmVlcnMvam9iL011bmljaC0tLU9mZmljZS9NZWRpY2FsLUFmZmFpcnMtTWFuYWdlci0tLVJlc3BpcmF0b3J5LS1tLXctZC1fNDI2OTUwLTE,gsk,GSK,(Senior) Medical Affairs Manager – Respiratory (m/w/d),Munich - Office,onsite,,,,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/Munich---Office/Medical-Affairs-Manager---Respiratory--m-w-d-_426950-1,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/Munich---Office/Medical-Affairs-Manager---Respiratory--m-w-d-_426950-1,,2026-02-08T12:54:51.393Z
workday:aHR0cHM6Ly9nc2sud2Q1Lm15d29ya2RheWpvYnMuY29tL0dTS0NhcmVlcnMvam9iL011bmljaC0tLU9mZmljZS9YTUxOQU1FLS1TZW5pb3ItLVByb2R1a3RtYW5hZ2VyLWluLUhtYXRvbG9naWUtLW0tZi1kLV80MzIzNzUtMg,gsk,GSK,(Senior) Produktmanager*in Hämatologie (m/f/d),Munich - Office,onsite,,,,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/Munich---Office/XMLNAME--Senior--Produktmanager-in-Hmatologie--m-f-d-_432375-2,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/Munich---Office/XMLNAME--Senior--Produktmanager-in-Hmatologie--m-f-d-_432375-2,,2026-02-08T12:54:51.393Z
workday:aHR0cHM6Ly9nc2sud2Q1Lm15d29ya2RheWpvYnMuY29tL0dTS0NhcmVlcnMvam9iL0Nvc3RhLVJpY2EtLS1DYXJ0YWdvLS0tVHJlcy1SaW9zL0FjY291bnRzLVBheWFibGUtSGVscGRlc2stQW5hbHlzdF80MzUyMjMtMQ,gsk,GSK,Accounts Payable Helpdesk Analyst,Costa Rica - Cartago - Tres Rios,,,,,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/Costa-Rica---Cartago---Tres-Rios/Accounts-Payable-Helpdesk-Analyst_435223-1,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/Costa-Rica---Cartago---Tres-Rios/Accounts-Payable-Helpdesk-Analyst_435223-1,,2026-02-08T12:54:51.393Z
workday:aHR0cHM6Ly9nc2sud2Q1Lm15d29ya2RheWpvYnMuY29tL0dTS0NhcmVlcnMvam9iL1VTQS0tLU1pc3NvdXJpLS0tS2Fuc2FzLUNpdHkvQWR1bHQtSW1tdW5pemF0aW9uLVNwZWNpYWxpc3QtLS1LYW5zYXMtQ2l0eS0tTU9fNDM1MzQy,gsk,GSK,"Adult Immunization Specialist - Kansas City, MO",USA - Missouri - Kansas City,,,,,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/USA---Missouri---Kansas-City/Adult-Immunization-Specialist---Kansas-City--MO_435342,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/USA---Missouri---Kansas-City/Adult-Immunization-Specialist---Kansas-City--MO_435342,,2026-02-08T12:54:51.393Z
workday:aHR0cHM6Ly9nc2sud2Q1Lm15d29ya2RheWpvYnMuY29tL0dTS0NhcmVlcnMvam9iL0R1cmhhbS1CbGFja3dlbGwtU3RyZWV0L0FJLVNvbHV0aW9ucy1BcmNoaXRlY3RfNDI4Mjkw,gsk,GSK,AI Solutions Architect,Durham Blackwell Street,,,,,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/Durham-Blackwell-Street/AI-Solutions-Architect_428290,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/Durham-Blackwell-Street/AI-Solutions-Architect_428290,,2026-02-08T12:54:51.393Z
workday:aHR0cHM6Ly9nc2sud2Q1Lm15d29ya2RheWpvYnMuY29tL0dTS0NhcmVlcnMvam9iL0xvbmRvbi1UaGUtU3RhbmxleS1CdWlsZGluZy9BSU1MLVNvZnR3YXJlLUVuZ2luZWVyLS1SZXNwb25zaWJsZS1BSV80MzUzMzEtMQ,gsk,GSK,"AIML Software Engineer, Responsible AI",London The Stanley Building,,,,,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/London-The-Stanley-Building/AIML-Software-Engineer--Responsible-AI_435331-1,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/London-The-Stanley-Building/AIML-Software-Engineer--Responsible-AI_435331-1,,2026-02-08T12:54:51.393Z
workday:aHR0cHM6Ly9nc2sud2Q1Lm15d29ya2RheWpvYnMuY29tL0dTS0NhcmVlcnMvam9iL0xvbmRvbi1UaGUtU3RhbmxleS1CdWlsZGluZy9BbmFseXN0LS1BcnRpZmljaWFsLUludGVsbGlnZW5jZS1Qb2xpY3ktLUZpeGVkLVRlcm0tQ29udHJhY3QtXzQzNTIxNS0x,gsk,GSK,"Analyst, Artificial Intelligence Policy (Fixed Term Contract)",London The Stanley Building,,,,,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/London-The-Stanley-Building/Analyst--Artificial-Intelligence-Policy--Fixed-Term-Contract-_435215-1,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/London-The-Stanley-Building/Analyst--Artificial-Intelligence-Policy--Fixed-Term-Contract-_435215-1,,2026-02-08T12:54:51.393Z
workday:aHR0cHM6Ly9nc2sud2Q1Lm15d29ya2RheWpvYnMuY29tL0dTS0NhcmVlcnMvam9iL1VLLS0tSGVydGZvcmRzaGlyZS0tLVN0ZXZlbmFnZS9BbmFseXRpY2FsLUNoZW1pc3QtLS1NYXNzLVNwZWN0cm9tZXRyeS0tMTItTW9udGgtRlRDLS0tU2Vjb25kbWVudC1fNDM0MTgxLTE,gsk,GSK,Analytical Chemist - Mass Spectrometry (12-Month FTC / Secondment),UK - Hertfordshire - Stevenage,,,,,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/UK---Hertfordshire---Stevenage/Analytical-Chemist---Mass-Spectrometry--12-Month-FTC---Secondment-_434181-1,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/UK---Hertfordshire---Stevenage/Analytical-Chemist---Mass-Spectrometry--12-Month-FTC---Secondment-_434181-1,,2026-02-08T12:54:51.393Z
workday:aHR0cHM6Ly9nc2sud2Q1Lm15d29ya2RheWpvYnMuY29tL0dTS0NhcmVlcnMvam9iL0xvbmRvbi1UaGUtU3RhbmxleS1CdWlsZGluZy9BcHBsaWNhdGlvbi1FbmdpbmVlci1JSV80MzEyNjctMQ,gsk,GSK,Application Engineer II,London The Stanley Building,,,,,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/London-The-Stanley-Building/Application-Engineer-II_431267-1,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/London-The-Stanley-Building/Application-Engineer-II_431267-1,,2026-02-08T12:54:51.393Z
workday:aHR0cHM6Ly9nc2sud2Q1Lm15d29ya2RheWpvYnMuY29tL0dTS0NhcmVlcnMvam9iL0luZGlhLS0tTWFoYXJhc2h0cmEtLS1Xb3JsaS1NdW1iYWkvQXJlYS1NZWRpY2FsLUFkdmlzb3ItLVNwZWNpYWx0eV80MzQ0NTY,gsk,GSK,"Area Medical Advisor, Specialty",India - Maharashtra - Worli Mumbai,,,,,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/India---Maharashtra---Worli-Mumbai/Area-Medical-Advisor--Specialty_434456,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/India---Maharashtra---Worli-Mumbai/Area-Medical-Advisor--Specialty_434456,,2026-02-08T12:54:51.393Z
